ID,性别,年级,专业,使用时长,主要使用场景,使用态度,提问能力,信息核实,效率提升,使用ChatGPT_闭卷课程,使用ChatGPT_闭卷成绩,使用ChatGPT_开卷课程,使用ChatGPT_开卷成绩,不使用ChatGPT_闭卷课程,不使用ChatGPT_闭卷成绩,不使用ChatGPT_开卷课程,不使用ChatGPT_开卷成绩,学习渠道_1,学习渠道_2,学习渠道_3,学习渠道_4,学习渠道_5,Q15_知识联系,Q16_减轻负担,Q17_反思方法,Q18_批判审视,Q19_问题解决,Q20_深度思考,Q21_主动查证,Q22_激发创意,Q23_信息素养,Q24_掌控感,Q25_胜任感,Q26_归属感,Q27_兴趣提升,Q28_减轻焦虑,Q29_依赖内疚,Q30_担心落后,Q31_探索乐趣,Q32_弥补漏洞,Q33_个性化,Q34_情感不可替代,Q35_教学方法改革,Q36_融入课堂,Q37_注重过程,Q38_角色转变,Q39_担心关注减少,Q40_利大于弊,Q41_平衡使用,Q42_职业重要,Q43_隐私担忧,Q44_制定规则,Q45_支持课程,Q46_减少讨论,Q47_促进公平,Q48_加剧不平等,Q49_驾驭AI,Q50_未来乐观,Q51_思维不可替代,使用时长_数值,使用态度_数值,提问能力_数值,信息核实_数值,效率提升_数值,认知特质,动机特质,教学特质,综合特质
RESP_878,女,2021级及以前,物理与工程类（含物理、机械、电子、电气等）,中等使用（8-15小时）,生成创意、获取灵感和写作大纲,中立,一般,很少会,提升较小,经济法,81,公共关系学,88,社会调查研究方法,84,国际贸易实务,85,1,1,0,1,0,C,D,C,E,C,D,C,D,B,A,A,B,B,A,A,C,A,D,C,D,C,C,D,A,D,A,A,E,B,C,C,D,A,E,A,C,B,3,3,3,2,2,0.251816355,-1.569535156,0.028206424,-0.424987785
RESP_879,女,2022级,外语类,中等使用（8-15小时）,解答课程疑难问题,非常积极,一般,很少会,提升非常大,统计学,80,公共关系学,88,商法,84,国际贸易实务,85,1,1,0,1,0,E,E,E,E,D,D,C,E,E,C,E,E,E,E,E,D,C,A,E,C,D,A,A,A,B,B,C,B,D,D,B,C,D,C,E,C,D,3,5,3,2,5,2.026550157,2.180929826,-1.193842477,0.409174174
RESP_880,男,2024级,数学与统计类,较少使用（1-7小时）,编程辅助与代码调试,非常积极,比较强,有时会,一般,新闻学原理,80,公共演讲,88,文化研究导论,83,艺术批评,85,1,1,1,1,0,A,B,B,D,A,B,B,B,B,D,E,C,C,D,D,C,C,C,D,B,C,A,B,C,C,A,B,C,C,D,B,C,C,C,C,D,B,2,5,4,3,3,-0.868307057,1.115915475,-0.099866234,-0.029223995
RESP_881,男,2021级及以前,信息类（含计算机、电信、通信工程等）,频繁使用（16小时以上）,编程辅助与代码调试,非常积极,一般,有时会,提升非常大,无机化学,84,纳米材料导论,92,化工原理,88,药物化学,88,0,0,1,0,1,A,C,D,A,C,E,E,E,C,E,E,A,D,B,E,E,E,C,E,C,C,C,C,D,B,D,C,C,C,D,C,D,D,B,D,C,C,4,5,3,3,5,0.434775374,1.883168021,0.281353023,0.095650177
RESP_882,女,2021级及以前,人文与艺术类（含文学、历史、哲学、新闻等）,较少使用（1-7小时）,生成创意、获取灵感和写作大纲,非常消极,比较强,有时会,提升非常大,计算机组成原理,79,人机交互设计,87,离散数学,82,Web开发技术,84,1,0,0,0,1,D,C,B,C,D,E,E,D,D,A,A,B,A,A,A,C,A,B,D,B,B,B,E,B,D,C,C,D,B,A,E,E,B,C,B,A,C,2,1,4,3,5,0.779225912,-1.881537702,-1.067088556,0.347703464
RESP_883,女,2023级,数学与统计类,频繁使用（16小时以上）,编程辅助与代码调试,比较积极,比较强,很少会,提升较大,复变函数,80,数学建模,88,微分方程,84,金融数学,85,1,0,1,1,1,E,D,D,B,B,C,C,C,C,C,E,E,D,E,D,E,E,B,B,D,A,C,B,B,B,E,E,C,C,D,E,E,D,E,D,D,E,4,4,4,2,4,0.267186714,2.345202998,-0.623976854,1.594409023
RESP_884,女,2024级,人文与艺术类（含文学、历史、哲学、新闻等）,较少使用（1-7小时）,文本润色、翻译与内容总结,中立,非常弱,很少会,提升较大,语法理论,80,外语影视配音,88,外国文学史,83,外语歌曲赏析,86,1,1,0,0,1,A,B,A,A,B,A,D,A,D,B,A,B,A,C,A,B,A,D,A,A,C,C,A,C,D,D,E,D,B,E,E,D,D,E,D,E,E,2,3,1,2,4,-1.270500671,-0.96265513,0.134996035,1.34943229
RESP_885,女,2024级,信息类（含计算机、电信、通信工程等）,较少使用（1-7小时）,解答课程疑难问题,中立,比较强,经常会,没有提升,电路原理,89,工程经济学,94,工程热力学,92,智能制造导论,92,0,1,1,1,1,C,D,E,B,C,D,E,D,E,D,A,D,C,D,C,D,C,D,D,C,D,B,D,C,C,A,A,B,A,A,B,A,A,B,B,A,A,2,3,4,4,1,0.951415234,-0.348719814,0.726965168,-2.373167938
RESP_886,女,2021级及以前,经管与社科类（含经济、管理、法律、社会学等）,频繁使用（16小时以上）,文本润色、翻译与内容总结,非常积极,比较弱,很少会,提升较大,西方哲学史,83,艺术批评,90,文化研究导论,87,媒介素养,87,1,1,1,1,0,C,E,E,D,E,E,D,E,E,E,E,E,D,E,D,C,E,B,B,D,C,C,D,C,D,C,D,E,E,C,E,D,D,E,E,C,D,4,5,2,2,4,1.511120678,1.599532161,0.527369613,1.665281123
RESP_887,男,2024级,生化环材类（包含环境工程、化学、生物学、材料等）,频繁使用（16小时以上）,编程辅助与代码调试,非常积极,比较弱,很少会,提升较大,数据结构与算法,78,移动应用开发,86,离散数学,82,数据可视化,84,0,1,1,0,1,C,D,C,E,D,E,D,D,C,E,C,C,B,E,D,B,B,A,A,C,B,E,A,A,B,E,A,D,D,E,D,E,B,D,E,B,A,4,5,2,2,4,0.932377919,0.407974873,-1.720706242,0.431767492
RESP_888,男,2024级,经管与社科类（含经济、管理、法律、社会学等）,较少使用（1-7小时）,编程辅助与代码调试,比较消极,比较强,有时会,提升非常大,语言测试学,84,外语影视配音,92,高级英语,88,影视翻译,88,0,0,1,1,0,A,A,A,A,A,A,A,A,A,B,A,B,A,B,B,C,A,E,D,B,E,D,D,E,C,E,E,E,D,D,A,D,D,E,E,E,D,2,2,4,3,5,-1.932992902,-1.05017004,0.814919687,1.246003094
RESP_889,男,2023级,人文与艺术类（含文学、历史、哲学、新闻等）,中等使用（8-15小时）,生成创意、获取灵感和写作大纲,非常消极,比较强,很少会,提升较大,词汇学,87,外语文学鉴赏,94,语言测试学,90,外语戏剧表演,91,0,1,0,1,0,B,D,C,C,A,B,A,B,B,A,A,A,A,B,C,C,A,C,D,C,B,C,A,E,E,A,A,E,B,B,B,C,B,A,A,B,A,3,1,4,2,4,-0.145771277,-1.657047716,0.336950307,-1.031060812
RESP_890,男,2021级及以前,数学与统计类,频繁使用（16小时以上）,搜集和概括文献资料,中立,一般,从不,提升非常大,外语教学法,80,外语媒体研究,88,语言测试学,83,外语歌曲赏析,84,0,1,0,0,1,A,D,D,C,C,C,C,C,B,E,C,D,C,E,D,E,E,A,C,B,B,C,A,B,A,C,D,C,C,E,C,E,C,D,C,D,C,4,3,3,1,5,-0.13965379,1.065754932,-1.230483971,0.563692779
RESP_891,女,2024级,信息类（含计算机、电信、通信工程等）,频繁使用（16小时以上）,文本润色、翻译与内容总结,比较积极,比较强,很少会,提升较大,材料力学,80,虚拟现实技术,88,热力学与统计物理,85,智能制造导论,87,0,1,1,1,1,B,D,D,B,B,E,B,A,B,E,D,B,E,E,E,E,E,E,C,E,E,D,E,E,E,B,E,C,A,D,C,B,C,E,B,D,C,4,4,4,2,4,-0.134364658,1.81378331,1.355645123,0.349466408
RESP_892,男,2021级及以前,物理与工程类（含物理、机械、电子、电气等）,中等使用（8-15小时）,生成创意、获取灵感和写作大纲,比较积极,一般,有时会,提升较大,组织行为学,79,项目管理,87,社会学理论,84,领导力开发,85,1,0,0,1,0,A,A,A,C,B,A,B,A,B,D,B,D,D,A,B,D,A,E,D,E,C,C,E,C,D,E,E,D,E,C,B,D,E,C,C,C,C,3,4,3,3,4,-2.406121781,0.081043464,1.209124235,0.685199978
RESP_893,男,2024级,经管与社科类（含经济、管理、法律、社会学等）,中等使用（8-15小时）,解答课程疑难问题,中立,一般,从不,提升较大,细胞生物学,88,纳米材料导论,95,化工原理,92,科技论文写作,92,1,1,1,0,1,A,D,D,C,D,C,C,E,C,B,B,A,A,A,A,B,D,C,C,B,A,C,E,B,B,B,B,B,B,A,B,E,B,D,B,E,B,3,3,3,1,4,0.263964933,-1.271843083,-0.23707399,-0.795079988
RESP_894,男,2024级,经管与社科类（含经济、管理、法律、社会学等）,频繁使用（16小时以上）,编程辅助与代码调试,比较积极,一般,有时会,提升非常大,语言学概论,79,外语媒体研究,87,语言测试学,85,影视翻译,86,1,0,0,1,0,D,D,B,E,D,C,D,C,D,D,E,E,E,E,E,D,E,A,C,A,A,A,A,B,C,B,E,D,C,E,D,E,C,E,D,C,D,4,4,3,3,5,0.740458269,2.252107018,-1.7800993,1.082169182
RESP_895,男,2022级,信息类（含计算机、电信、通信工程等）,频繁使用（16小时以上）,编程辅助与代码调试,非常积极,比较弱,经常会,提升非常大,工程数学,76,工程项目管理,84,信号与系统,82,科技创新方法,83,1,0,1,0,0,B,D,C,D,C,C,B,B,E,A,E,A,D,E,B,C,C,C,E,D,D,E,B,D,E,E,D,E,D,E,C,D,D,D,E,C,C,4,5,2,4,5,0.138109052,-0.054691392,1.38661456,1.088796144
RESP_896,男,2024级,外语类,中等使用（8-15小时）,解答课程疑难问题,比较积极,比较强,从不,提升非常大,商法,80,金融市场学,87,微观经济学,84,人力资源管理,85,1,0,0,0,1,A,E,A,A,A,A,C,B,C,D,C,C,B,B,D,A,C,A,A,A,A,B,B,A,B,D,C,E,D,C,D,C,B,D,E,D,D,3,4,4,1,5,-1.355986521,0.049251714,-1.923931406,0.60794678
RESP_897,男,2021级及以前,人文与艺术类（含文学、历史、哲学、新闻等）,较少使用（1-7小时）,搜集和概括文献资料,比较消极,一般,总是会,提升较大,数理逻辑,76,统计软件应用,84,泛函分析,80,多元统计分析,82,1,1,1,0,1,B,A,C,A,B,E,A,C,B,A,A,A,B,A,A,B,A,C,D,E,E,A,D,D,B,E,E,E,E,C,E,E,E,E,E,E,E,2,2,3,5,4,-0.873592942,-1.885985692,0.929790961,2.158598453
RESP_898,女,2023级,生化环材类（包含环境工程、化学、生物学、材料等）,几乎不用（少于1小时）,解答课程疑难问题,中立,比较弱,有时会,提升较小,分子生物学,85,实验室安全与管理,93,化工原理,89,纳米材料导论,89,1,0,1,1,1,A,D,C,C,B,E,C,B,C,D,D,E,D,E,E,C,C,C,A,B,B,D,B,A,A,A,A,B,B,A,D,A,B,D,B,C,B,1,3,2,3,2,-0.355984497,0.839464913,-0.808998195,-0.698049299
RESP_899,女,2022级,生化环材类（包含环境工程、化学、生物学、材料等）,中等使用（8-15小时）,文本润色、翻译与内容总结,比较积极,比较弱,从不,提升较大,实变函数,84,多元统计分析,91,复变函数,88,金融数学,89,0,1,0,0,1,A,A,C,D,C,C,C,C,B,D,C,D,C,D,A,C,C,A,B,C,C,D,D,D,D,E,C,C,D,C,D,C,C,B,D,D,B,3,4,2,1,4,-0.76379432,-0.062371649,0.668042,0.053499377
RESP_900,女,2021级及以前,信息类（含计算机、电信、通信工程等）,较少使用（1-7小时）,编程辅助与代码调试,非常积极,一般,很少会,提升较大,偏微分方程,83,时间序列分析,90,线性代数,86,图论及其应用,88,1,1,0,1,0,C,D,C,B,D,C,D,B,C,D,D,E,A,C,C,E,C,D,C,C,D,D,C,C,D,D,D,B,E,D,C,B,B,C,D,B,C,2,5,3,2,4,-0.156579586,1.237767088,0.810414667,0.2898103
RESP_901,女,2022级,人文与艺术类（含文学、历史、哲学、新闻等）,中等使用（8-15小时）,文本润色、翻译与内容总结,中立,非常强,有时会,没有提升,美学原理,79,公共演讲,87,西方哲学史,82,文化创意产业,85,1,0,0,0,1,B,C,B,A,C,A,D,B,B,B,B,B,B,B,C,E,D,C,C,C,D,D,B,E,C,A,C,D,B,E,B,B,B,B,D,D,E,3,3,5,3,1,-0.803362629,-0.6639194,-0.008090697,-0.104259487
RESP_902,男,2021级及以前,生化环材类（包含环境工程、化学、生物学、材料等）,几乎不用（少于1小时）,编程辅助与代码调试,中立,一般,从不,提升非常大,材料力学,85,可持续工程,93,工程热力学,88,工业设计,90,1,0,1,1,1,C,C,D,C,B,D,C,B,C,E,D,D,B,E,C,E,D,E,E,D,E,E,D,E,E,D,C,B,C,D,B,C,B,A,D,B,D,1,3,3,1,5,-0.66881411,1.271248756,1.470893453,0.321592036
RESP_903,女,2021级及以前,信息类（含计算机、电信、通信工程等）,频繁使用（16小时以上）,文本润色、翻译与内容总结,中立,比较强,很少会,提升较大,语用学,84,外语文学鉴赏,92,翻译理论与实践,86,外语写作技巧,89,1,1,0,0,0,E,D,A,E,C,E,E,D,E,A,B,C,B,D,A,C,E,A,A,C,A,A,B,A,B,C,C,C,C,B,E,D,C,C,D,C,B,4,3,4,2,4,1.193061744,-0.126796114,-2.522786046,0.107453289
RESP_904,女,2024级,经管与社科类（含经济、管理、法律、社会学等）,中等使用（8-15小时）,文本润色、翻译与内容总结,比较积极,一般,经常会,提升较大,机械设计基础,83,智能制造导论,90,流体力学,85,新能源技术,87,1,1,0,0,1,B,E,D,A,C,C,B,E,D,C,D,E,C,E,D,E,D,C,D,D,D,E,E,B,B,C,A,E,D,B,D,C,E,D,E,B,D,3,4,3,4,4,-0.191823565,0.677983277,0.622496539,0.566016183
RESP_905,女,2024级,人文与艺术类（含文学、历史、哲学、新闻等）,频繁使用（16小时以上）,搜集和概括文献资料,比较积极,非常弱,总是会,提升非常大,微观经济学,84,品牌管理,92,市场营销学,88,社会心理学,89,1,1,1,1,0,C,B,C,C,B,D,C,B,C,E,E,D,E,E,E,C,C,D,A,B,C,A,C,A,B,E,B,C,E,A,C,C,D,D,D,C,C,4,4,1,5,5,-0.688991865,2.298565459,-0.327359497,0.28444401
RESP_906,男,2023级,物理与工程类（含物理、机械、电子、电气等）,频繁使用（16小时以上）,生成创意、获取灵感和写作大纲,中立,非常弱,有时会,提升较大,语言学概论,75,外语写作技巧,83,外语教学法,82,外语媒体研究,82,1,1,0,0,1,D,E,C,D,C,E,B,D,E,E,E,E,E,E,D,E,E,B,A,B,C,A,C,C,A,C,A,C,C,C,B,A,C,B,A,B,B,4,3,1,3,4,1.214601806,1.628681235,-1.396151476,-1.444422279
RESP_907,男,2021级及以前,外语类,较少使用（1-7小时）,生成创意、获取灵感和写作大纲,非常消极,一般,有时会,提升非常大,数据结构与算法,85,人机交互设计,93,离散数学,89,移动应用开发,90,0,1,0,1,1,B,B,C,C,D,B,C,B,B,A,C,B,C,C,C,B,C,B,C,B,D,D,C,C,E,D,C,B,C,C,A,D,D,E,B,D,C,2,1,3,3,5,-1.103750829,-0.29612838,0.35892274,-0.198965005
RESP_908,男,2023级,信息类（含计算机、电信、通信工程等）,频繁使用（16小时以上）,解答课程疑难问题,比较积极,比较弱,很少会,提升较小,高等数学,78,精算学基础,87,数值分析,84,金融数学,86,1,1,0,0,0,E,D,E,C,E,D,D,D,E,D,E,E,D,A,D,B,C,B,C,C,B,C,B,B,C,B,D,C,D,C,B,B,D,C,E,D,C,4,4,2,2,2,2.380518668,0.409395745,-0.389726794,0.400278648
RESP_909,女,2024级,数学与统计类,中等使用（8-15小时）,生成创意、获取灵感和写作大纲,比较积极,非常弱,有时会,一般,外语教学法,83,外语歌曲赏析,91,语言学概论,87,外语写作技巧,88,0,0,1,0,1,C,D,C,E,D,D,E,D,C,D,E,D,D,D,D,E,B,C,C,B,D,B,C,C,A,B,C,C,D,C,B,D,C,E,B,D,C,3,4,1,3,3,0.703335573,0.444026161,0.046631532,0.249303784
RESP_910,男,2024级,物理与工程类（含物理、机械、电子、电气等）,较少使用（1-7小时）,文本润色、翻译与内容总结,中立,比较弱,总是会,提升较小,人工智能基础,82,物联网导论,90,算法设计与分析,88,自然语言处理,88,1,0,0,1,1,A,C,A,A,B,A,B,C,B,C,E,B,A,A,B,B,B,E,E,E,A,D,D,D,E,E,D,E,D,C,E,B,D,D,C,D,D,2,3,2,5,2,-1.265343871,-1.056586574,1.859394989,0.84712929
RESP_911,男,2021级及以前,外语类,中等使用（8-15小时）,文本润色、翻译与内容总结,比较积极,一般,有时会,提升非常大,自动控制原理,83,工程项目管理,90,工程数学,87,虚拟现实技术,88,1,0,0,1,1,C,D,D,C,D,B,C,C,D,D,C,D,C,C,A,A,B,B,A,C,B,B,B,A,B,C,C,D,A,A,B,B,C,D,D,B,E,3,4,3,3,5,0.272951182,-0.089898704,-1.189550602,-0.274437523
RESP_912,男,2024级,外语类,频繁使用（16小时以上）,解答课程疑难问题,中立,比较强,总是会,一般,环境工程原理,78,食品科学,87,分子生物学,85,生物技术导论,86,1,1,1,1,0,D,E,D,C,C,B,D,A,D,E,E,E,E,E,D,E,E,E,D,E,C,D,E,C,E,D,B,B,A,C,A,A,B,E,C,A,A,4,3,4,5,3,0.704883875,1.996161142,0.447370609,-0.98427428
RESP_913,男,2021级及以前,物理与工程类（含物理、机械、电子、电气等）,频繁使用（16小时以上）,解答课程疑难问题,比较积极,一般,从不,提升较大,材料力学,78,工程项目管理,85,电磁场与电磁波,81,智能制造导论,83,1,1,0,0,0,C,D,D,D,C,A,C,C,A,C,A,E,C,E,C,D,D,D,D,C,D,D,E,C,D,C,B,B,B,C,C,D,C,C,E,C,D,4,4,3,1,4,0.21264592,0.802203064,1.102125708,-0.198301075
RESP_914,女,2022级,人文与艺术类（含文学、历史、哲学、新闻等）,中等使用（8-15小时）,生成创意、获取灵感和写作大纲,非常积极,一般,有时会,提升较大,文体学,79,外语影视配音,87,翻译理论与实践,83,外语写作技巧,85,0,0,0,1,1,D,D,E,E,E,E,D,A,E,C,B,E,D,E,C,E,D,A,B,D,B,D,B,C,C,B,D,D,E,D,D,E,E,C,D,D,D,3,5,3,3,4,1.856015822,1.155936486,-0.302477542,0.552285835
RESP_915,男,2024级,数学与统计类,中等使用（8-15小时）,编程辅助与代码调试,非常积极,一般,很少会,提升较大,概率论与数理统计,78,数据科学导论,87,实变函数,84,金融数学,86,0,0,0,1,1,A,A,A,B,A,E,B,A,B,B,C,C,B,C,C,D,C,E,E,E,D,C,B,B,B,B,B,D,B,A,C,B,A,C,C,D,D,3,5,3,2,4,-1.693095772,-0.187532927,0.60604268,-0.002852244
RESP_916,男,2024级,物理与工程类（含物理、机械、电子、电气等）,频繁使用（16小时以上）,编程辅助与代码调试,非常积极,比较强,有时会,提升较大,计算机图形学,82,自然语言处理,90,计算机组成原理,85,移动应用开发,87,0,1,0,1,0,D,E,E,E,E,D,E,E,E,E,E,E,C,D,D,E,E,A,B,B,C,B,B,B,A,C,A,B,B,D,A,C,A,C,A,A,C,4,5,4,3,4,1.658767941,3.993007285,-0.522825964,-0.602053397
RESP_917,女,2023级,数学与统计类,频繁使用（16小时以上）,解答课程疑难问题,非常积极,比较弱,很少会,提升较大,史学理论与方法,79,文化遗产保护,86,新闻学原理,82,跨文化沟通,84,1,1,1,0,0,B,D,E,B,C,B,C,B,D,E,D,E,D,E,E,E,C,A,A,A,A,B,A,A,A,C,D,A,C,D,D,C,E,D,D,D,C,4,5,2,2,4,-0.025564059,1.920872583,-1.935902537,0.733789272
RESP_918,男,2023级,数学与统计类,中等使用（8-15小时）,解答课程疑难问题,比较积极,一般,有时会,提升非常大,概率论与数理统计,77,金融数学,85,线性代数,83,贝叶斯统计,84,1,1,1,0,0,B,B,B,B,B,B,C,B,C,E,D,D,D,D,E,E,C,D,A,B,D,B,A,C,B,B,E,D,D,C,E,D,C,D,E,B,D,3,4,3,3,5,-0.924015971,1.290627176,-0.281459904,0.654271567
RESP_919,女,2022级,生化环材类（包含环境工程、化学、生物学、材料等）,中等使用（8-15小时）,解答课程疑难问题,中立,一般,有时会,一般,古代汉语,86,文化遗产保护,94,传播学理论,90,媒介素养,90,1,1,1,0,1,E,B,A,E,E,D,D,E,E,C,A,E,A,D,B,C,C,B,B,C,C,A,C,A,A,B,D,D,B,C,A,C,C,B,E,C,E,3,3,3,3,3,1.836000245,-0.574894483,-0.89446698,-0.024434617
RESP_920,男,2024级,生化环材类（包含环境工程、化学、生物学、材料等）,较少使用（1-7小时）,解答课程疑难问题,比较积极,比较弱,有时会,提升较大,计算机体系结构,84,区块链技术,91,软件工程,87,数据可视化,88,0,1,1,1,1,E,E,E,E,D,E,C,E,E,C,C,B,B,E,A,C,C,B,A,A,C,D,A,B,C,C,D,D,C,C,B,B,A,B,B,E,A,2,4,2,3,4,1.706442316,-0.598705686,-0.134055664,-0.013985603
RESP_921,女,2023级,信息类（含计算机、电信、通信工程等）,频繁使用（16小时以上）,解答课程疑难问题,非常积极,一般,很少会,提升非常大,微观经济学,81,投资学,88,会计学原理,84,创新创业管理,86,1,1,0,1,1,C,B,C,C,C,B,D,E,A,E,D,E,D,E,E,E,E,A,B,D,C,D,C,C,C,C,D,D,C,C,B,C,D,D,A,B,D,4,5,3,2,5,0.428053588,2.112877294,-1.056955167,-0.047638799
RESP_922,女,2022级,外语类,较少使用（1-7小时）,文本润色、翻译与内容总结,中立,比较弱,有时会,一般,材料科学基础,76,生物技术导论,84,微生物学,82,环境法学,84,1,0,0,0,1,D,C,C,D,D,D,D,D,D,C,C,B,B,C,A,A,D,B,B,A,A,A,E,A,A,C,B,D,D,D,C,C,D,A,B,C,D,2,3,2,3,3,-0.161720334,-0.441486415,-0.840658576,0.046937551
RESP_923,女,2021级及以前,信息类（含计算机、电信、通信工程等）,中等使用（8-15小时）,生成创意、获取灵感和写作大纲,比较积极,一般,经常会,提升较大,会计学原理,87,品牌管理,94,社会调查研究方法,90,投资学,91,1,1,1,0,1,C,A,A,A,A,C,D,B,A,B,B,D,B,E,D,D,C,E,D,E,D,E,E,D,E,C,A,A,B,E,B,C,C,A,D,C,B,3,4,3,4,4,-0.33174411,0.104555114,2.066548794,-0.9731142
RESP_924,女,2021级及以前,人文与艺术类（含文学、历史、哲学、新闻等）,较少使用（1-7小时）,文本润色、翻译与内容总结,比较消极,非常强,很少会,一般,文化研究导论,82,文化遗产保护,90,世界历史概论,86,创意写作,87,1,1,1,0,0,E,C,C,D,B,B,C,D,C,D,C,D,D,E,E,E,C,D,D,C,D,D,B,C,D,B,C,A,B,C,C,C,B,C,B,B,E,2,2,5,2,3,0.262429846,0.495853902,0.185857411,-0.093883931
RESP_925,男,2024级,数学与统计类,频繁使用（16小时以上）,文本润色、翻译与内容总结,比较积极,一般,从不,一般,实变函数,82,数学建模,90,概率论与数理统计,86,优化方法,86,0,0,1,0,1,B,B,C,C,C,D,B,C,B,B,E,D,D,E,E,D,D,A,B,C,D,E,C,D,C,E,E,E,D,C,B,E,D,E,E,E,C,4,4,3,1,3,-0.135388011,0.660079352,0.860168903,1.92008942
RESP_926,男,2021级及以前,信息类（含计算机、电信、通信工程等）,中等使用（8-15小时）,文本润色、翻译与内容总结,非常消极,比较弱,从不,一般,数据结构与算法,77,自然语言处理,84,计算机网络,79,移动应用开发,82,0,1,1,0,1,C,B,B,A,B,B,C,A,B,C,C,B,C,C,B,A,B,D,E,D,C,E,D,C,C,C,D,D,D,C,D,C,D,B,C,C,D,3,1,2,1,3,-0.854360538,-1.081521701,1.055845673,0.527670472
RESP_927,女,2021级及以前,人文与艺术类（含文学、历史、哲学、新闻等）,较少使用（1-7小时）,文本润色、翻译与内容总结,比较积极,一般,经常会,一般,电路原理,81,科技创新方法,89,机械设计基础,87,可持续工程,87,0,1,0,1,0,C,C,D,D,A,B,C,C,D,C,E,D,E,E,D,E,D,C,A,D,B,B,C,B,B,B,C,C,A,D,A,B,B,B,C,D,C,2,4,3,4,3,-0.608709933,1.681397318,-0.501279259,-0.078619398
RESP_928,女,2024级,经管与社科类（含经济、管理、法律、社会学等）,较少使用（1-7小时）,编程辅助与代码调试,比较消极,比较强,有时会,一般,偏微分方程,75,数学史,83,泛函分析,82,图论及其应用,83,1,1,1,0,1,D,D,B,D,D,A,C,C,B,C,D,E,E,E,E,E,D,B,C,D,C,A,C,A,A,E,D,E,D,B,B,B,C,E,D,C,D,2,2,4,3,3,0.57924445,1.508723849,-1.142819864,0.611174562
RESP_929,男,2023级,人文与艺术类（含文学、历史、哲学、新闻等）,频繁使用（16小时以上）,生成创意、获取灵感和写作大纲,比较积极,比较弱,很少会,提升较大,操作系统,91,人机交互设计,98,计算机组成原理,95,自然语言处理,92,0,1,1,0,1,B,E,C,A,C,B,D,C,C,D,D,C,D,B,B,D,D,E,D,B,C,C,D,D,A,E,D,C,E,E,E,D,D,E,E,D,E,4,4,2,2,4,0.177827444,-0.009816695,0.19780339,2.555156295
RESP_930,男,2023级,经管与社科类（含经济、管理、法律、社会学等）,较少使用（1-7小时）,编程辅助与代码调试,中立,比较弱,经常会,没有提升,偏微分方程,85,多元统计分析,93,数理逻辑,88,贝叶斯统计,89,0,0,1,0,1,C,D,B,B,B,C,C,B,A,A,D,B,B,C,D,B,C,C,E,B,C,B,C,B,B,A,B,C,B,B,B,A,C,A,B,D,A,2,3,2,4,1,-0.109084592,0.085512116,-0.257804023,-1.277114665
RESP_931,男,2021级及以前,人文与艺术类（含文学、历史、哲学、新闻等）,频繁使用（16小时以上）,生成创意、获取灵感和写作大纲,比较积极,一般,有时会,提升较大,文化研究导论,81,修辞学,88,古典文献学,84,媒介素养,85,1,1,0,1,0,B,C,B,E,A,C,B,C,D,B,D,C,D,D,B,C,B,B,A,B,B,A,D,A,B,E,E,E,D,E,E,E,E,E,E,E,E,4,4,3,3,4,-1.040305685,0.082287905,-0.356118401,2.116855658
RESP_932,女,2022级,经管与社科类（含经济、管理、法律、社会学等）,频繁使用（16小时以上）,解答课程疑难问题,非常积极,非常强,经常会,提升较大,计算机体系结构,90,数据可视化,97,计算机网络,94,信息安全概论,92,1,1,0,1,1,D,D,E,B,B,C,E,B,D,B,C,B,A,D,C,B,C,A,C,A,A,A,C,A,A,D,D,D,D,D,C,C,C,C,D,D,C,4,5,5,4,4,1.268668918,-0.735033917,-1.158009074,1.204357813
RESP_933,男,2021级及以前,经管与社科类（含经济、管理、法律、社会学等）,中等使用（8-15小时）,生成创意、获取灵感和写作大纲,比较积极,比较弱,总是会,提升较大,数据结构与算法,86,大数据技术,94,人工智能基础,92,数字图像处理,92,0,1,1,1,1,D,D,E,D,C,D,E,E,E,E,E,D,D,E,C,C,C,A,B,B,A,C,B,A,A,D,A,C,D,C,A,B,C,D,C,C,C,3,4,2,5,4,1.85811337,0.878499048,-1.46885415,0.174661409
RESP_934,女,2024级,物理与工程类（含物理、机械、电子、电气等）,中等使用（8-15小时）,文本润色、翻译与内容总结,比较积极,一般,有时会,提升较大,电子技术,75,科技创新方法,84,理论力学,82,工业设计,83,1,1,0,1,0,C,C,B,A,A,A,A,A,A,D,A,D,D,A,A,B,C,A,E,D,D,E,D,E,E,C,D,C,A,D,A,B,C,D,B,E,D,3,4,3,3,4,-1.726936976,-0.352680332,1.995996323,0.470440488
RESP_935,女,2024级,外语类,频繁使用（16小时以上）,搜集和概括文献资料,比较积极,比较弱,很少会,一般,数值分析,78,金融数学,86,拓扑学,83,时间序列分析,85,1,1,0,1,0,D,D,E,E,C,E,D,D,D,B,C,D,C,D,B,C,E,A,B,C,C,C,C,C,E,E,E,E,D,C,C,E,C,E,D,E,D,4,4,2,2,3,0.770254647,0.22681359,-0.366587766,1.321956767
